id,AGE,AREA_KM2,NAME,POP,FIPS,time,SEX
285,82,364485,Japan,356749,JA,2012,Male
286,83,364485,Japan,322943,JA,2012,Male
287,84,364485,Japan,288682,JA,2012,Male
288,85,364485,Japan,253946,JA,2012,Male
289,86,364485,Japan,218326,JA,2012,Male
290,87,364485,Japan,179042,JA,2012,Male
291,88,364485,Japan,139645,JA,2012,Male
292,89,364485,Japan,108349,JA,2012,Male
293,90,364485,Japan,86239,JA,2012,Male
294,91,364485,Japan,69694,JA,2012,Male
295,92,364485,Japan,56994,JA,2012,Male
296,93,364485,Japan,39922,JA,2012,Male
297,94,364485,Japan,32116,JA,2012,Male
298,95,364485,Japan,24714,JA,2012,Male
299,96,364485,Japan,18524,JA,2012,Male
300,97,364485,Japan,13256,JA,2012,Male
301,98,364485,Japan,9324,JA,2012,Male
302,99,364485,Japan,6178,JA,2012,Male
303,100,364485,Japan,9486,JA,2012,Male
304,0,364485,Japan,541933,JA,2013,Male
305,1,364485,Japan,552553,JA,2013,Male
306,2,364485,Japan,562226,JA,2013,Male
307,3,364485,Japan,571137,JA,2013,Male
308,4,364485,Japan,580026,JA,2013,Male
309,5,364485,Japan,583611,JA,2013,Male
310,6,364485,Japan,580628,JA,2013,Male
311,7,364485,Japan,567522,JA,2013,Male
312,8,364485,Japan,570950,JA,2013,Male
313,9,364485,Japan,589588,JA,2013,Male
314,10,364485,Japan,601411,JA,2013,Male
315,11,364485,Japan,611591,JA,2013,Male
316,12,364485,Japan,619606,JA,2013,Male
317,13,364485,Japan,618849,JA,2013,Male
318,14,364485,Japan,656937,JA,2013,Male
319,15,364485,Japan,660066,JA,2013,Male
320,16,364485,Japan,661283,JA,2013,Male
321,17,364485,Japan,673768,JA,2013,Male
322,18,364485,Japan,677117,JA,2013,Male
323,19,364485,Japan,625812,JA,2013,Male
324,20,364485,Japan,619431,JA,2013,Male
325,21,364485,Japan,630097,JA,2013,Male
326,22,364485,Japan,617926,JA,2013,Male
327,23,364485,Japan,609312,JA,2013,Male
328,24,364485,Japan,619997,JA,2013,Male
329,25,364485,Japan,647650,JA,2013,Male
330,26,364485,Japan,670484,JA,2013,Male
331,27,364485,Japan,686839,JA,2013,Male
332,28,364485,Japan,708425,JA,2013,Male
333,29,364485,Japan,727906,JA,2013,Male
334,30,364485,Japan,731489,JA,2013,Male
335,31,364485,Japan,733914,JA,2013,Male
336,32,364485,Japan,753325,JA,2013,Male
337,33,364485,Japan,787965,JA,2013,Male
338,34,364485,Japan,774455,JA,2013,Male
339,35,364485,Japan,802421,JA,2013,Male
340,36,364485,Japan,825365,JA,2013,Male
341,37,364485,Japan,853455,JA,2013,Male
342,38,364485,Japan,902877,JA,2013,Male
343,39,364485,Japan,964973,JA,2013,Male
344,40,364485,Japan,968494,JA,2013,Male
345,41,364485,Japan,945730,JA,2013,Male
346,42,364485,Japan,921722,JA,2013,Male
347,43,364485,Japan,896989,JA,2013,Male
348,44,364485,Japan,898827,JA,2013,Male
349,45,364485,Japan,879628,JA,2013,Male
350,46,364485,Japan,826339,JA,2013,Male
351,47,364485,Japan,730097,JA,2013,Male
352,48,364485,Japan,838243,JA,2013,Male
353,49,364485,Japan,809851,JA,2013,Male
354,50,364485,Japan,786926,JA,2013,Male
355,51,364485,Japan,763677,JA,2013,Male
356,52,364485,Japan,761936,JA,2013,Male
357,53,364485,Japan,767992,JA,2013,Male
358,54,364485,Japan,781314,JA,2013,Male
359,55,364485,Japan,759151,JA,2013,Male
360,56,364485,Japan,750484,JA,2013,Male
361,57,364485,Japan,787549,JA,2013,Male
362,58,364485,Japan,807226,JA,2013,Male
363,59,364485,Japan,820472,JA,2013,Male
364,60,364485,Japan,863921,JA,2013,Male
365,61,364485,Japan,907524,JA,2013,Male
366,62,364485,Japan,961350,JA,2013,Male
367,63,364485,Japan,1031195,JA,2013,Male
368,64,364485,Japan,1096847,JA,2013,Male
369,65,364485,Japan,1070117,JA,2013,Male
370,66,364485,Japan,931468,JA,2013,Male
371,67,364485,Japan,656551,JA,2013,Male
372,68,364485,Japan,715930,JA,2013,Male
373,69,364485,Japan,804453,JA,2013,Male
374,70,364485,Japan,782823,JA,2013,Male
375,71,364485,Japan,785208,JA,2013,Male
376,72,364485,Japan,740448,JA,2013,Male
377,73,364485,Japan,655430,JA,2013,Male
378,74,364485,Japan,570088,JA,2013,Male
379,75,364485,Japan,589355,JA,2013,Male
380,76,364485,Japan,585518,JA,2013,Male
381,77,364485,Japan,556985,JA,2013,Male
382,78,364485,Japan,510351,JA,2013,Male
383,79,364485,Japan,470677,JA,2013,Male
384,80,364485,Japan,445832,JA,2013,Male
385,81,364485,Japan,413987,JA,2013,Male
386,82,364485,Japan,373493,JA,2013,Male
387,83,364485,Japan,333181,JA,2013,Male
388,84,364485,Japan,299049,JA,2013,Male
389,85,364485,Japan,264863,JA,2013,Male
390,86,364485,Japan,230896,JA,2013,Male
391,87,364485,Japan,196675,JA,2013,Male
392,88,364485,Japan,159372,JA,2013,Male
393,89,364485,Japan,122587,JA,2013,Male
394,90,364485,Japan,93943,JA,2013,Male
395,91,364485,Japan,73752,JA,2013,Male
396,92,364485,Japan,58608,JA,2013,Male
397,93,364485,Japan,47030,JA,2013,Male
398,94,364485,Japan,32257,JA,2013,Male
399,95,364485,Japan,25467,JA,2013,Male
400,96,364485,Japan,19183,JA,2013,Male
401,97,364485,Japan,14054,JA,2013,Male
402,98,364485,Japan,9815,JA,2013,Male
403,99,364485,Japan,6730,JA,2013,Male
404,100,364485,Japan,10616,JA,2013,Male
405,0,364485,Japan,531077,JA,2014,Male
406,1,364485,Japan,541774,JA,2014,Male
407,2,364485,Japan,552406,JA,2014,Male
408,3,364485,Japan,562139,JA,2014,Male
409,4,364485,Japan,571064,JA,2014,Male
410,5,364485,Japan,579960,JA,2014,Male
411,6,364485,Japan,583552,JA,2014,Male
412,7,364485,Japan,580576,JA,2014,Male
413,8,364485,Japan,567477,JA,2014,Male
414,9,364485,Japan,570902,JA,2014,Male
415,10,364485,Japan,589542,JA,2014,Male
416,11,364485,Japan,601369,JA,2014,Male
417,12,364485,Japan,611550,JA,2014,Male
418,13,364485,Japan,619555,JA,2014,Male
419,14,364485,Japan,618785,JA,2014,Male
420,15,364485,Japan,656860,JA,2014,Male
421,16,364485,Japan,659942,JA,2014,Male
422,17,364485,Japan,661112,JA,2014,Male
423,18,364485,Japan,673558,JA,2014,Male
424,19,364485,Japan,676871,JA,2014,Male
425,20,364485,Japan,625555,JA,2014,Male
426,21,364485,Japan,619140,JA,2014,Male
427,22,364485,Japan,629773,JA,2014,Male
428,23,364485,Japan,617609,JA,2014,Male
429,24,364485,Japan,609009,JA,2014,Male
430,25,364485,Japan,619690,JA,2014,Male
431,26,364485,Japan,647333,JA,2014,Male
432,27,364485,Japan,670142,JA,2014,Male
433,28,364485,Japan,686469,JA,2014,Male
434,29,364485,Japan,708014,JA,2014,Male
435,30,364485,Japan,727473,JA,2014,Male
436,31,364485,Japan,731061,JA,2014,Male
437,32,364485,Japan,733463,JA,2014,Male
438,33,364485,Japan,752860,JA,2014,Male
439,34,364485,Japan,787455,JA,2014,Male
440,35,364485,Japan,773885,JA,2014,Male
441,36,364485,Japan,801811,JA,2014,Male
442,37,364485,Japan,824692,JA,2014,Male
443,38,364485,Japan,852683,JA,2014,Male
444,39,364485,Japan,901983,JA,2014,Male
445,40,364485,Japan,963929,JA,2014,Male
446,41,364485,Japan,967345,JA,2014,Male
447,42,364485,Japan,944513,JA,2014,Male
448,43,364485,Japan,920456,JA,2014,Male
449,44,364485,Japan,895627,JA,2014,Male
450,45,364485,Japan,897326,JA,2014,Male
451,46,364485,Japan,878040,JA,2014,Male
452,47,364485,Japan,824689,JA,2014,Male
453,48,364485,Japan,728515,JA,2014,Male
454,49,364485,Japan,836272,JA,2014,Male
455,50,364485,Japan,807705,JA,2014,Male
456,51,364485,Japan,784635,JA,2014,Male
457,52,364485,Japan,761252,JA,2014,Male
458,53,364485,Japan,759256,JA,2014,Male
459,54,364485,Japan,765069,JA,2014,Male
460,55,364485,Japan,778086,JA,2014,Male
461,56,364485,Japan,755702,JA,2014,Male
462,57,364485,Japan,746745,JA,2014,Male
463,58,364485,Japan,783207,JA,2014,Male
464,59,364485,Japan,802257,JA,2014,Male
465,60,364485,Japan,814962,JA,2014,Male
466,61,364485,Japan,857569,JA,2014,Male
467,62,364485,Japan,900114,JA,2014,Male
468,63,364485,Japan,953248,JA,2014,Male
469,64,364485,Japan,1021982,JA,2014,Male
470,65,364485,Japan,1085577,JA,2014,Male
471,66,364485,Japan,1058293,JA,2014,Male
472,67,364485,Japan,920401,JA,2014,Male
473,68,364485,Japan,647989,JA,2014,Male
474,69,364485,Japan,705835,JA,2014,Male
475,70,364485,Japan,792283,JA,2014,Male
476,71,364485,Japan,769726,JA,2014,Male
477,72,364485,Japan,770301,JA,2014,Male
478,73,364485,Japan,724858,JA,2014,Male
479,74,364485,Japan,640131,JA,2014,Male
480,75,364485,Japan,555160,JA,2014,Male
481,76,364485,Japan,571759,JA,2014,Male
482,77,364485,Japan,565992,JA,2014,Male
483,78,364485,Japan,536294,JA,2014,Male
484,79,364485,Japan,488985,JA,2014,Male
485,80,364485,Japan,448538,JA,2014,Male
486,81,364485,Japan,422451,JA,2014,Male
487,82,364485,Japan,390013,JA,2014,Male
488,83,364485,Japan,349326,JA,2014,Male
489,84,364485,Japan,309025,JA,2014,Male
490,85,364485,Japan,274856,JA,2014,Male
491,86,364485,Japan,241279,JA,2014,Male
492,87,364485,Japan,208417,JA,2014,Male
493,88,364485,Japan,175453,JA,2014,Male
494,89,364485,Japan,140241,JA,2014,Male
495,90,364485,Japan,106561,JA,2014,Male
496,91,364485,Japan,80560,JA,2014,Male
497,92,364485,Japan,62205,JA,2014,Male
498,93,364485,Japan,48518,JA,2014,Male
499,94,364485,Japan,38134,JA,2014,Male
500,95,364485,Japan,25672,JA,2014,Male
501,96,364485,Japan,19846,JA,2014,Male
502,97,364485,Japan,14613,JA,2014,Male
503,98,364485,Japan,10451,JA,2014,Male
504,99,364485,Japan,7117,JA,2014,Male
505,100,364485,Japan,11795,JA,2014,Male
506,0,364485,Japan,520646,JA,2015,Male
507,1,364485,Japan,530926,JA,2015,Male
508,2,364485,Japan,541634,JA,2015,Male
509,3,364485,Japan,552323,JA,2015,Male
510,4,364485,Japan,562069,JA,2015,Male
511,5,364485,Japan,571001,JA,2015,Male
512,6,364485,Japan,579902,JA,2015,Male
513,7,364485,Japan,583502,JA,2015,Male
514,8,364485,Japan,580530,JA,2015,Male
515,9,364485,Japan,567432,JA,2015,Male
516,10,364485,Japan,570858,JA,2015,Male
517,11,364485,Japan,589502,JA,2015,Male
518,12,364485,Japan,601330,JA,2015,Male
519,13,364485,Japan,611501,JA,2015,Male
520,14,364485,Japan,619492,JA,2015,Male
521,15,364485,Japan,618715,JA,2015,Male
522,16,364485,Japan,656741,JA,2015,Male
523,17,364485,Japan,659776,JA,2015,Male
524,18,364485,Japan,660912,JA,2015,Male
525,19,364485,Japan,673323,JA,2015,Male
526,20,364485,Japan,676603,JA,2015,Male
527,21,364485,Japan,625272,JA,2015,Male
528,22,364485,Japan,618833,JA,2015,Male
529,23,364485,Japan,629461,JA,2015,Male
530,24,364485,Japan,617312,JA,2015,Male
531,25,364485,Japan,608718,JA,2015,Male
532,26,364485,Japan,619398,JA,2015,Male
533,27,364485,Japan,647015,JA,2015,Male
534,28,364485,Japan,669795,JA,2015,Male
535,29,364485,Japan,686085,JA,2015,Male
536,30,364485,Japan,707609,JA,2015,Male
537,31,364485,Japan,727063,JA,2015,Male
538,32,364485,Japan,730628,JA,2015,Male
539,33,364485,Japan,733028,JA,2015,Male
540,34,364485,Japan,752390,JA,2015,Male
541,35,364485,Japan,786898,JA,2015,Male
542,36,364485,Japan,773319,JA,2015,Male
543,37,364485,Japan,801181,JA,2015,Male
544,38,364485,Japan,823974,JA,2015,Male
545,39,364485,Japan,851871,JA,2015,Male
546,40,364485,Japan,901043,JA,2015,Male
547,41,364485,Japan,962828,JA,2015,Male
548,42,364485,Japan,966147,JA,2015,Male
549,43,364485,Japan,943265,JA,2015,Male
550,44,364485,Japan,919109,JA,2015,Male
551,45,364485,Japan,894186,JA,2015,Male
552,46,364485,Japan,895764,JA,2015,Male
553,47,364485,Japan,876349,JA,2015,Male
554,48,364485,Japan,822964,JA,2015,Male
555,49,364485,Japan,726863,JA,2015,Male
556,50,364485,Japan,834134,JA,2015,Male
557,51,364485,Japan,805436,JA,2015,Male
558,52,364485,Japan,782229,JA,2015,Male
559,53,364485,Japan,758668,JA,2015,Male
560,54,364485,Japan,756464,JA,2015,Male
561,55,364485,Japan,762014,JA,2015,Male
562,56,364485,Japan,774668,JA,2015,Male
563,57,364485,Japan,752061,JA,2015,Male
564,58,364485,Japan,742763,JA,2015,Male
565,59,364485,Japan,778545,JA,2015,Male
566,60,364485,Japan,797048,JA,2015,Male
567,61,364485,Japan,809168,JA,2015,Male
568,62,364485,Japan,850798,JA,2015,Male
569,63,364485,Japan,892773,JA,2015,Male
570,64,364485,Japan,944997,JA,2015,Male
571,65,364485,Japan,1011806,JA,2015,Male
572,66,364485,Japan,1073942,JA,2015,Male
573,67,364485,Japan,1046085,JA,2015,Male
574,68,364485,Japan,908739,JA,2015,Male
575,69,364485,Japan,639104,JA,2015,Male
576,70,364485,Japan,695443,JA,2015,Male
577,71,364485,Japan,779374,JA,2015,Male
578,72,364485,Japan,755490,JA,2015,Male
579,73,364485,Japan,754492,JA,2015,Male
580,74,364485,Japan,708359,JA,2015,Male
581,75,364485,Japan,623778,JA,2015,Male
582,76,364485,Japan,538984,JA,2015,Male
583,77,364485,Japan,553144,JA,2015,Male
584,78,364485,Japan,545454,JA,2015,Male
585,79,364485,Japan,514352,JA,2015,Male
586,80,364485,Japan,466496,JA,2015,Male
587,81,364485,Japan,425527,JA,2015,Male
588,82,364485,Japan,398502,JA,2015,Male
589,83,364485,Japan,365297,JA,2015,Male
590,84,364485,Japan,324508,JA,2015,Male
